Course Name,Key Takeaways,Course Time,Ratings,Difficulty,Website
GenAI Applied to Quantitative Finance: For Control Implementation,"Learn how to apply advanced AI techniques to convert textual data, such as news articles, into actionable trading signals for predicting commodity prices., Understand the importance of a well-structured architecture that includes robust keyword extraction, sentiment mining, graph generation, and time series forecasting to drive predictive accuracy., Explore opportunities for further improvements, such as integrating large language models (LLMs), enhancing robustness, and achieving full automation in trading signal generation.",1,4.7,Intermediate,https://courses.analyticsvidhya.com/courses/genai-applied-to-quantitative-finance-for-control-implementation
"Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy","ML Engineers and Data Scientists seeking to optimize LLMs for efficient deployment., AI Enthusiasts interested in learning practical techniques to balance LLM performance, cost, and scalability., Professionals in MLOps aiming to understand different deployment strategies for LLMs, including cloud, containerized, and serverless options.",1,4.8,Beginner,https://courses.analyticsvidhya.com/courses/navigating-llm-tradeoffs-techniques-for-speed-cost-scale-and-accuracy
Creating Problem-Solving Agents using GenAI for Action Composition,"Beginners in AI and ML looking to understand agentic systems and their real-world applications., Tech enthusiasts and developers interested in learning the basics of creating intelligent, problem-solving agents., Professionals exploring multi-agent systems for automation and dynamic task orchestration in various domains.",1,4.7,Beginner,https://courses.analyticsvidhya.com/courses/creating-problem-solving-agents-using-genai-for-action-composition
Improving Real World RAG Systems: Key Challenges & Practical Solutions,"AI/ML professionals aiming to enhance RAG system performance and solve real-world challenges., Developers/Engineers building search, conversational, or generative AI systems needing better data retrieval and context handling., Researchers/Enthusiasts seeking hands-on experience with advanced RAG techniques and agentic systems.",1,4.8,Beginner,https://courses.analyticsvidhya.com/courses/improving-real-world-rag-systems-key-challenges
Framework to Choose the Right LLM for your Business,"Business leaders seeking to implement AI-driven solutions efficiently., Data scientists exploring LLMs for industry-specific applications., Tech professionals involved in AI integration and decision-making processes.",1,4.7,Beginner,https://courses.analyticsvidhya.com/courses/choosing-the-right-LLM-for-your-business
Building Smarter LLMs with Mamba and State Space Model,"AI and ML professionals looking to specialize in State Space Models and Mamba architecture., Data scientists interested in exploring advanced Generative AI models and architectures., NLP practitioners who want to integrate SSMs like Mamba in their workflows and use cases.",,,,https://courses.analyticsvidhya.com/courses/building-smarter-llms-with-mamba-and-state-space-model
Generative AI - A Way of Life - Free Course,"Utilize leading AI tools like ChatGPT, Microsoft Copilot, and DALL·E3 to create text and image content, enhancing your ability to innovate and streamline your creative processes., Explore practical use cases across various industries, from marketing to finance, and apply ethical best practices, ensuring you are well-equipped to implement AI solutions responsibly and effectively.",6,4.7,Beginner,https://courses.analyticsvidhya.com/courses/genai-a-way-of-life
Building LLM Applications using Prompt Engineering - Free Course,"Learn to effectively build and implement different LLM applications, Understand and apply few-shot, one-shot, and zero-shot prompting, Gain expertise in building chatbots using enterprise data through advanced prompt engineering methods",2.1,4.6,Beginner ,https://courses.analyticsvidhya.com/courses/building-llm-applications-using-prompt-engineering-free
Building Your First Computer Vision Model - Free Course,"Learn Computer Vision techniques and build real-world CV Models., Hands-On Experience: Engage with exercises designed to reinforce your learning and apply concepts in real-world scenarios.",0.34,4.6,Beginner,https://courses.analyticsvidhya.com/courses/building-your-first-computer-vision-model
Bagging and Boosting ML Algorithms - Free Course,"Lear to effectively use Bagging and Boosting Algorithms, Hands-On Experience: Engage in practical exercises to reinforce learning and apply concepts, ensuring you gain the skills to utilize these algorithms",,,,https://courses.analyticsvidhya.com/courses/bagging-boosting-ML-Algorithms
MidJourney: From Inspiration to Implementation - Free Course,"Understand MidJourney Tools: Gain a practical understanding of how to use MidJourney for creative projects., Find Inspiration: Learn how to draw inspiration from various sources to fuel your creativity., Explore Alternatives: Discover alternative tools to broaden your creative toolkit.",0.33,4.6,Intermediate,https://courses.analyticsvidhya.com/courses/midjourney_from_inspiration_to_implementation
Understanding Linear Regression - Free Course,"Learn Linear Regression technique and build real-world Machine Learning Models., Hands-On Experience: Engage with exercises designed to reinforce your learning and apply concepts in real-world scenarios.",,,,https://courses.analyticsvidhya.com/courses/free-understanding-linear-regression
The Working of Neural Networks - Free Course,"Utilize leading AI tools like ChatGPT, Microsoft Copilot, and DALL·E3 to create text and image content, enhancing your ability to innovate and streamline your creative processes., Hands-On Experience: Engage with exercises designed to reinforce your learning and apply concepts in real-world scenarios.",,,,https://courses.analyticsvidhya.com/courses/The%20Working%20of%20Neural%20Networks
The A to Z of Unsupervised ML - Free Course,"Learn machine learning techniques and build real-world Unsupervised ML Models., Hands-On Experience: Engage with exercises designed to reinforce your learning and apply concepts in real-world scenarios.",0.52,4.6,Intermediate,https://courses.analyticsvidhya.com/courses/free-unsupervised-ml-guide
Building Your first RAG System using LlamaIndex - Free Course,"Learn the steps involved in building a RAG system using Llamaindex., Hands-On Experience: Engage with exercises designed to reinforce your learning and apply concepts in real-world scenarios.",1.1,4.8,Intermediate,https://courses.analyticsvidhya.com/courses/building-first-rag-systems-using-llamaindex
Data Preprocessing on a Real-World Problem Statement - Free Course,"Learn data preprocessing tasks, Hands-On Experience: Engage with exercises designed to reinforce your learning and apply concepts in real-world scenarios",,,,https://courses.analyticsvidhya.com/courses/data-preprocessing
Exploring Stability.AI - Free Course,"Learn to effectively use and customize SD WebUI and the Automatic1111 WebUI., Hands-On Experience: Engage in practical exercises to reinforce learning and apply concepts, ensuring you gain the skills to utilize Stability.AI tools confidently.",1,4.5,Beginner ,https://courses.analyticsvidhya.com/courses/exploring-stability-ai
Building a Text Classification Model with Natural Language Processing - Free Course,"Acquire practical skills in building NLP models using PyTorch, Career Readiness: Prepare to apply NLP across industries, equipping yourself for roles in data science, AI, and text analysis with hands-on exercises.",1.1,4.7,Intermediate,https://courses.analyticsvidhya.com/courses/free-building-textclassification-natural-language-processing
Getting Started with Large Language Models,"Learn Large Language Model techniques and build real-world NLP applications., Hands-On Experience: Engage with exercises designed to reinforce your learning and apply concepts in real-world scenarios.",1.2,4.5,Beginner,https://courses.analyticsvidhya.com/courses/getting-started-with-llms
Introduction to Generative  AI,"Learn to effectively use text and image generation tools to create diverse and innovative content, Engage in practical exercises to reinforce learning and apply generative AI concepts",,,,https://courses.analyticsvidhya.com/courses/introduction-to-generative-ai
Nano Course: Dreambooth-Stable Diffusion for Custom Images,"Finetune Dreambooth on the custom dataset discussing each step in detail, Understand the training process of dreambooth, Learn Tricks to Name Your Concept Uniquely in dreambooth, Overview of Stable Diffusion, its journey and training process., Understand the difference between stable diffusion and dreambooth",1,4.6,Advanced,https://courses.analyticsvidhya.com/courses/nano-course-dreambooth-stable-diffusion-for-custom-images
Free Comprehensive Learning Path for Deep Learning in 2023,,,,,https://courses.analyticsvidhya.com/courses/a-comprehensive-learning-path-for-deep-learning-in-2023
